Id	X	Y	Rugositas
519	744887.10120	9885930.79960	1.00062
520	744913.10120	9885930.79960	1.00066
521	744939.10120	9885930.79960	1.00027
522	744965.10120	9885930.79960	1.00119
523	744991.10120	9885930.79960	1.00515
524	745017.10120	9885930.79960	1.00138
525	745043.10120	9885930.79960	1.00104
526	745069.10120	9885930.79960	1.00202
527	743925.10120	9885904.79960	1.00029
528	743951.10120	9885904.79960	1.00082
529	743977.10120	9885904.79960	1.00027
530	744003.10120	9885904.79960	1.00014
531	744029.10120	9885904.79960	1.00164
532	744055.10120	9885904.79960	1.00295
533	744081.10120	9885904.79960	1.00154
534	744107.10120	9885904.79960	1.00078
535	744133.10120	9885904.79960	1.00042
536	744159.10120	9885904.79960	1.00028
537	744185.10120	9885904.79960	1.00017
538	744211.10120	9885904.79960	1.00013
539	744237.10120	9885904.79960	1.00006
540	744263.10120	9885904.79960	1.00001
541	744289.10120	9885904.79960	1.00003
542	744315.10120	9885904.79960	1.00003
543	744341.10120	9885904.79960	1.00006
544	744367.10120	9885904.79960	1.00012
545	744393.10120	9885904.79960	1.00008
546	744419.10120	9885904.79960	1.00011
547	744445.10120	9885904.79960	1.00013
548	744471.10120	9885904.79960	1.00052
549	744497.10120	9885904.79960	1.00032
550	744523.10120	9885904.79960	1.00007
551	744549.10120	9885904.79960	1.00006
552	744575.10120	9885904.79960	1.00004
553	744601.10120	9885904.79960	1.00004
554	744627.10120	9885904.79960	1.00005
555	744653.10120	9885904.79960	1.00002
556	744679.10120	9885904.79960	1.00002
557	744705.10120	9885904.79960	1.00005
558	744731.10120	9885904.79960	1.00016
559	744757.10120	9885904.79960	1.00013
560	744783.10120	9885904.79960	1.00026
561	744809.10120	9885904.79960	1.00071
562	744835.10120	9885904.79960	1.00040
563	744861.10120	9885904.79960	1.00055
564	744887.10120	9885904.79960	1.00068
565	744913.10120	9885904.79960	1.00049
566	744939.10120	9885904.79960	1.00039
567	744965.10120	9885904.79960	1.00088
568	744991.10120	9885904.79960	1.00250
569	745017.10120	9885904.79960	1.00070
570	745043.10120	9885904.79960	1.00151
571	745069.10120	9885904.79960	1.00297
572	745095.10120	9885904.79960	1.00559
573	745121.10120	9885904.79960	1.01036
574	745147.10120	9885904.79960	1.00332
575	743821.10120	9885878.79960	1.00008
576	743847.10120	9885878.79960	1.00004
577	743873.10120	9885878.79960	1.00011
578	743899.10120	9885878.79960	1.00036
579	743925.10120	9885878.79960	1.00028
580	743951.10120	9885878.79960	1.00083
581	743977.10120	9885878.79960	1.00067
582	744003.10120	9885878.79960	1.00050
583	744029.10120	9885878.79960	1.00227
584	744055.10120	9885878.79960	1.00508
585	744081.10120	9885878.79960	1.00192
586	744107.10120	9885878.79960	1.00061
587	744133.10120	9885878.79960	1.00051
588	744159.10120	9885878.79960	1.00059
589	744185.10120	9885878.79960	1.00027
590	744211.10120	9885878.79960	1.00019
591	744237.10120	9885878.79960	1.00002
592	744263.10120	9885878.79960	1.00001
593	744289.10120	9885878.79960	1.00005
594	744315.10120	9885878.79960	1.00010
595	744341.10120	9885878.79960	1.00025
596	744367.10120	9885878.79960	1.00046
597	744393.10120	9885878.79960	1.00024
598	744419.10120	9885878.79960	1.00008
599	744445.10120	9885878.79960	1.00005
600	744471.10120	9885878.79960	1.00014
601	744497.10120	9885878.79960	1.00014
602	744523.10120	9885878.79960	1.00006
603	744549.10120	9885878.79960	1.00003
604	744575.10120	9885878.79960	1.00001
605	744601.10120	9885878.79960	1.00004
606	744627.10120	9885878.79960	1.00003
607	744653.10120	9885878.79960	1.00001
608	744679.10120	9885878.79960	1.00002
609	744705.10120	9885878.79960	1.00005
610	744731.10120	9885878.79960	1.00006
611	744757.10120	9885878.79960	1.00010
612	744783.10120	9885878.79960	1.00022
613	744809.10120	9885878.79960	1.00087
614	744835.10120	9885878.79960	1.00060
615	744861.10120	9885878.79960	1.00031
616	744887.10120	9885878.79960	1.00051
617	744913.10120	9885878.79960	1.00030
618	744939.10120	9885878.79960	1.00041
619	744965.10120	9885878.79960	1.00138
620	744991.10120	9885878.79960	1.00060
621	745017.10120	9885878.79960	1.00101
622	745043.10120	9885878.79960	1.00204
623	745069.10120	9885878.79960	1.00429
624	745095.10120	9885878.79960	1.00362
625	745121.10120	9885878.79960	1.00424
626	745147.10120	9885878.79960	1.00169
627	745173.10120	9885878.79960	1.00141
628	743795.10120	9885852.79960	1.00005
629	743821.10120	9885852.79960	1.00006
630	743847.10120	9885852.79960	1.00003
631	743873.10120	9885852.79960	1.00006
632	743899.10120	9885852.79960	1.00035
633	743925.10120	9885852.79960	1.00021
634	743951.10120	9885852.79960	1.00051
635	743977.10120	9885852.79960	1.00066
636	744003.10120	9885852.79960	1.00031
637	744029.10120	9885852.79960	1.00064
638	744055.10120	9885852.79960	1.00202
639	744081.10120	9885852.79960	1.00228
640	744107.10120	9885852.79960	1.00213
641	744133.10120	9885852.79960	1.00142
642	744159.10120	9885852.79960	1.00137
643	744185.10120	9885852.79960	1.00076
644	744211.10120	9885852.79960	1.00056
645	744237.10120	9885852.79960	1.00030
646	744263.10120	9885852.79960	1.00002
647	744289.10120	9885852.79960	1.00009
648	744315.10120	9885852.79960	1.00011
649	744341.10120	9885852.79960	1.00010
650	744367.10120	9885852.79960	1.00014
651	744393.10120	9885852.79960	1.00010
652	744419.10120	9885852.79960	1.00015
653	744445.10120	9885852.79960	1.00017
654	744471.10120	9885852.79960	1.00007
655	744497.10120	9885852.79960	1.00005
656	744523.10120	9885852.79960	1.00003
657	744549.10120	9885852.79960	1.00001
658	744575.10120	9885852.79960	1.00003
659	744601.10120	9885852.79960	1.00005
660	744627.10120	9885852.79960	1.00004
661	744653.10120	9885852.79960	1.00007
662	744679.10120	9885852.79960	1.00010
663	744705.10120	9885852.79960	1.00008
664	744731.10120	9885852.79960	1.00006
665	744757.10120	9885852.79960	1.00008
666	744783.10120	9885852.79960	1.00011
667	744809.10120	9885852.79960	1.00025
668	744835.10120	9885852.79960	1.00146
669	744861.10120	9885852.79960	1.00196
670	744887.10120	9885852.79960	1.00096
671	744913.10120	9885852.79960	1.00031
672	744939.10120	9885852.79960	1.00071
673	744965.10120	9885852.79960	1.00226
674	744991.10120	9885852.79960	1.00026
675	745017.10120	9885852.79960	1.00122
676	745043.10120	9885852.79960	1.00182
677	745069.10120	9885852.79960	1.00223
678	745095.10120	9885852.79960	1.00092
679	745121.10120	9885852.79960	1.00046
680	745147.10120	9885852.79960	1.00013
681	745173.10120	9885852.79960	1.00223
682	745199.10120	9885852.79960	1.00061
683	743795.10120	9885826.79960	1.00004
684	743821.10120	9885826.79960	1.00004
685	743847.10120	9885826.79960	1.00002
686	743873.10120	9885826.79960	1.00005
687	743899.10120	9885826.79960	1.00039
688	743925.10120	9885826.79960	1.00022
689	743951.10120	9885826.79960	1.00051
690	743977.10120	9885826.79960	1.00077
691	744003.10120	9885826.79960	1.00043
692	744029.10120	9885826.79960	1.00034
693	744055.10120	9885826.79960	1.00068
694	744081.10120	9885826.79960	1.00194
695	744107.10120	9885826.79960	1.00308
